Raceway,Density,Broodyear,,Start Number,,Mortailities,,Percent Mortality
R30,Low,2000,,16057,,196,,1.2207
R29,Low,2000,,16092,,209,,1.2988
R28,Low,2000,,16030,,217,,1.3537
R27,Med,2000,,24049,,253,,1.052
R26,Med,2000,,24070,,324,,1.3461
R25,Med,2000,,24208,,500,,2.0654
R24,High,2000,,32249,,414,,1.2838
R23,High,2000,,32133,,350,,1.0892
R22,High,2000,,32066,,300,,0.9356
R19,Low,2001,,16000,,229,,1.4313
R18,Low,2001,,16000,,208,,1.3
R17,Low,2001,,16000,,313,,1.9563
R16,Med,2001,,24000,,322,,1.3417
R15,Med,2001,,24000,,390,,1.625
R14,Med,2001,,24000,,461,,1.9208
R13,High,2001,,32001,,863,,2.6968
R12,High,2001,,32000,,631,,1.9719
R11,High,2001,,32000,,427,,1.3344
R16,Low,2002,,16028,,234,,1.4599
R15,Low,2002,,16062,,258,,1.6063
R14,Low,2002,,16070,,297,,1.8482
R13,Med,2002,,24051,,457,,1.9001
R12,Med,2002,,24042,,542,,2.2544
R11,Med,2002,,24060,,301,,1.251
R19,High,2002,,32053,,965,,3.0106
R18,High,2002,,32021,,546,,1.7051
R17,High,2002,,32024,,966,,3.0165